GLHT,Hours,DIII,GLHT_MI_C,GLHT_MI_C_1,GLHT_MI_1,PJHC_MI_C_3
GLHT 122,3,1,0,,0,0
GLHT 201,3,1,1,,0,0
GLHT 360,3,0,1,,0,1
GLHT 361,3,0,0,1,0,0
GLHT 362,,0,0,,0,1
GHLT 400,,0,0,,1,0
GLHT 411,3,0,0,,0,0
GLHT 448,3,0,0,,1,0
GLHT 451,3,0,1,,0,0
GLHT 452,3,0,1,,0,0
GLHT 510,1,0,0,,1,0
