HEAL,Hours,GLHT_MI_2,PJHC_MI_C_3,POST_MA_S_2,POST_MA_S_3,ENVI_MA_S_4
HEAL 103,3,,,,,
HEAL 119,3,,,,,
HEAL 132,1,,,,,
HEAL 200,3,,,,,
HEAL 201,,,,,,1
HEAL 208,3,,,,,
HEAL 212,3,,,,1,
HEAL 222,3,1,1,1,1,
HEAL 306,3,,,,,
HEAL 313,3,1,,,,
HEAL 350,3,,,,1,
HEAL 360,3,,,,,
HEAL 379,V,,,,,
HEAL 407,3,1,,,1,
HEAL 410,,,,,1,
HEAL 422,3,1,,,,
HEAL 460,3,1,,,,
HEAL 485,3,1,,,,
HEAL 495,V,,,,,
HEAL 496,V,,,,,
HEAL 498,V,1,1,,,
HEAL 499,V,,,,,
