SMGT,Hours,DI,SMGT_MA_C,SMGT_MA_C_3
SMGT 260,3,,1,
SMGT 276,3,,1,
SMGT 350,3,1,,1
SMGT 360,3,,1,
SMGT 361,3,,,1
SMGT 362,3,,1,
SMGT 364,3,,1,
SMGT 366,3,,1,
SMGT 368,3,,,1
SMGT 376,3,,1,
SMGT 377,3,,1,
SMGT 378,3,,,
SMGT 379,V,,,
SMGT 405,3,,,1
SMGT 430,3,,,
SMGT 460,3,,,1
SMGT 466,3,,1,
SMGT 470,3,,,
SMGT 495,V,,,
SMGT 496,V,,,
SMGT 498,V,,,
SMGT 499,V,,,
,,,,
