ENGL,Hours,DI,DII,ENGL_MA_C,ENGL > 300,ENVI_MA_S_2,AS_MI_C_3,POST_MA_S_1,HISP_MA_C_3,ASIA_MA_C_2,GLHT_MI_2,PJHC_MI_C_1,PJHC_MI_C_2,PJHC_MI_C_3
ENGL 100,3,1,,,,,,,,,,,,
ENGL 104,3,1,,,,,,,,,,,,
ENGL 121,AP,,,,,,,,,,,,,
ENGL 122,AP,,,,,,,,,,,,,
ENGL 175,3,1,,,,,,,,,,,,
ENGL 200,3,,,1,,,,,,,,,,
ENGL 201,3,,,,,,,,,,,,,
ENGL 202,3,,,,,,,,,,,,,
ENGL 204,3,,,,,,,,,,,,,
ENGL 208,3,,,,,,,,,,,,,
ENGL 210,3,1,,,,,,,,,,,,
ENGL 211,,1,,,,,,,,,,,,
ENGL 212,3,,,,,,,,,,,,,
ENGL 215,3,1,,,,,,,,,,,,
ENGL 222,3,1,,,,,,,,1,,1,,
ENGL 240,3,,,,,,,,,,,,,
ENGL 250,,1,,,,,,,,,,,,
ENGL 255,3,1,,,,,,,,,,,,
ENGL 260,3,1,,,,,,,,,,,1,
ENGL 265,3,1,,,,,,,,,,,,
ENGL 266,3,,,,,,,,,,,,,
ENGL 267,3,,,,,,,,,,,,,
ENGL 268,3,,,,,,,,,,,,1,
ENGL 270,3,1,,,,,,,,,,,,
ENGL 271,3,,,,,,,,,,,,,
ENGL 272,3,1,,,,,,,,,1,,,
ENGL 273,4,1,,,,,,,,,1,,,
ENGL 274,3,1,,,,,,,,,,,,
ENGL 275,4,,,,,,,,,,,,,
ENGL 277,3,1,,,,,,,,,,,,
ENGL 278,3,,,,,,,,,,,,,
ENGL 286,3,,,,,,,,,,,,,
ENGL 290,3,,,,,,,,,,,,,
ENGL 300,3,,,1,1,,,,,,,,,
ENGL 301,3,,,,1,,,,,,,,,
ENGL 304,3,,,,1,,,,,,,,,
ENGL 305,3,,,,1,,,,,,,,,
ENGL 306,3,,,,1,,,,,,,,,
ENGL 307,3,,,,1,,,,,,1,,,
ENGL 308,3,,,,1,,,,,,,,,
ENGL 309,3,1,,,1,,,,,,,,,
ENGL 310,3,1,,,1,,,,,,,,,
ENGL 311,3,,,,1,,,,,,,,,
ENGL 312,3,,,,1,,,,,,,,,
ENGL 313 ,3,,,,1,,,,,,,,,
ENGL 315,3,1,,,1,,,,,,,,,
ENGL 316,3,1,,,1,,,,,,,,,
ENGL 317,3,1,,,1,,,,,,,,,
ENGL 318,3,,,,1,,,,,,,,,
ENGL 319,3,,,,1,,,,,,,,,
ENGL 320,3,1,,,1,,,,,,,,,
ENGL 321,3,1,,,1,,,,,,,,,
ENGL 322,3,1,,,1,,,,,,,,,
ENGL 323,3,,,,1,,,,,,,,,
ENGL 326,3,,,,1,,,,,,,,,
ENGL 328,3,,,,1,,,,,,,,,
ENGL 329,3,1,,,1,,,,,,,,,
ENGL 330,3,1,,,1,,,,,,,,,
ENGL 332,3,1,,,1,,,,,,,,,
ENGL 333,3,1,,,1,,,,,,,,,
ENGL 336,3,,,,1,,,,,,,,,
ENGL 337,3,,,,1,,,,,,,,,
ENGL 338,3,1,,,1,,,,,,,,,
ENGL 339,3,1,,,1,,,,,,,,,
ENGL 341,3,,,,1,,,,,,,,,
ENGL 342,3,1,,,1,,,,,,,,,1
ENGL 343,3,,,,1,,,,,,,,,
ENGL 346,3,1,,,1,,,,,,,,,
ENGL 348,3,,,,1,,,,,,,,,
ENGL 350,3,,,,1,,,,,,,,,
ENGL 353,3,,,,1,,,,,,,,,
ENGL 354,3,,,,1,,,,,,,,,
ENGL 355,3,1,,,1,,,,,,,,,
ENGL 356,3,,,,1,,,,,,,,,
ENGL 357,3,1,,,1,,,,,,,,,
ENGL 358,3,,,,1,,,,,,,,,
ENGL 360,3,1,,,1,,,,,,,,,
ENGL 361,3,1,,,1,,,,,,,,,
