ANTH,Hours,COGS_MA_E,ANTH_MA_C,ENVI_MA_S_1,ENVI_MA_S_3,POST_MA_S_1,POST_MA_S_2,POST_MA_S_3,POST_MA_S_5,POST_MA_S_7,ANTH_MA_S_1,ANTH_MA_S_2,ANTH_MA_S_3,ASIA_MA_C_2,ANTH_MA_1,ANTH_MA_2_1,ANTH_MA_2_2,ANTH_MI_C,HISP_MA_C_3,ANTH >300,DI,DII,GLHT_MI_1,PJHC_MI_C_1,PJHC_MI_C_2,AS_MI_C_1,AS_MI_C_2
ANTH 440,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 442,3,,,,,,,,,,1,,1,,,,,,,1,,,,,,,
ANTH 444,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 445,3,,,,,,,,,,,,1,,,,,,,1,,,,,,,
ANTH 446,3,,,,,,,,,,,,1,,,,,,,1,,,,,,,
ANTH 447,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
ANTH 448,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 449,3,,,,,,,,,,,1,1,,,,,,,1,,,,,,,
ANTH 454,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 456,3,,,,,,,,,,1,,,,,,,,,1,,,,,,,
ANTH 458,3,,,,,,,,,,1,,,,,,,,,1,,,,,,,
ANTH 460,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
ANTH 463,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,1
ANTH 468,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
ANTH 483,4,,,,,,,,,,,1,,,,,,,,1,,,,,,,
ANTH 490,?,,,,,,,,,,,,,,,,1,,,1,,,,,,,
ANTH 491,3,,,,,,,,,,,,,,,,1,,,1,,,,,,,
ANTH 495,3,,,,,,,,,,,,,,,1,,,,1,,,,,,,
ANTH 562,,,,,,,,,,,,,,,1,,,,,,,,,,,,
