NSCI,Hours,ASTR_MA_2,ASTR_MA_BA_C_3,PHYS_MA_BA_C_1,DIII
NSCI 111,3,,,,1
NSCI 121,2,,,,
NSCI 199,V,,,,
NSCI 230,3,1,1,1,1
NSCI 281,3,,,,
NSCI 282,3,,,,
NSCI 289,3,,,,
NSCI 305,1,,,,
NSCI 501,1,,,,
NSCI 505,1,,,,
NSCI 506,1,,,,
NSCI 510,12,,,,
NSCI 511,3,,,,
NSCI 512,1,,,,
NSCI 520,3,,,,
NSCI 521,2,,,,
NSCI 522,1,,,,
NSCI 574,3,,,,
NSCI 580,V,,,,
NSCI 585,V,,,,
NSCI 590,V,,,,
NSCI 592,3,,,,
NSCI 595,V,,,,
NSCI 610,3,,,,
