ASTR,Hours,ASTR > 300,ASTR_MA_BA_C,ASTR_MA_BA_Y,ASTR_MA_BA_C_2,ASTR_MA_C,ASTR_MA_1,DIII
ASTR 100,1,,,,,,,
ASTR 201,3,,,,,,,1
ASTR 202,3,,,,,,,1
ASTR 221,2,,,,,,,
ASTR 230,3,,1,,,1,,
ASTR 243,3,,,,,,,
ASTR 350,,,1,,,,,
ASTR 360,3,1,1,,,,,
ASTR 400,1,1,,1,,,,
ASTR 402,3,1,,,,,,
ASTR 403,3,1,,,,,,
ASTR 430,3,1,,,,,,
ASTR 450,3,1,,,1,,1,
ASTR 451,3,1,,,1,,1,
ASTR 452,3,1,,,1,,1,
ASTR 470,3,1,,,1,,1,
ASTR 350,,,,,,1,,
ASTR 360,,,,,,1,,
