NEUR,Hours,COGS_MA_4_C,NEUR_MI_C_1,NEUR_MI_S_1_C,NEUR_MI_S_2_C
NEUR 111,1,,,,
NEUR 362,,,,1,
NEUR 380,3,,1,,
NEUR 385,3,,,,1
NEUR 415,3,,,,
NEUR 416,3,,,,
NEUR 481,3,,,,
NEUR 485,3,1,,,
NEUR 500,,1,,,
NEUR 501,3,,,,
NEUR 525,,1,,,
