EDUC,Hours,PJHC_MI_C_2,DII
EDUC 202,3,,
EDUC 301,3,,1
EDUC 305,3,,1
EDUC 310,3,,
EDUC 315,3,,
EDUC 320,3,,
EDUC 325,3,,
EDUC 330,3,,
EDUC 335,3,1,1
EDUC 345,3,,
EDUC 350,3,,
EDUC 421,3,,
EDUC 440,3,,
EDUC 460,V,,
EDUC 461,V,,
EDUC 463,V,,
EDUC 464,V,,
EDUC 465,V,,
EDUC 466,V,,
EDUC 470,V,,
EDUC 490,V,,
EDUC 491,1,,
